x,y,value
90.18,20.080000000000002,5.0
90.68,20.080000000000002,5.0
91.18,20.080000000000002,4.0
91.68,20.080000000000002,4.0
92.18,20.080000000000002,4.0
92.68,20.080000000000002,3.0
60.18,19.580000000000002,5.0
60.68,19.580000000000002,5.0
61.18,19.580000000000002,5.0
61.68,19.580000000000002,5.0
62.18,19.580000000000002,5.0
62.68,19.580000000000002,5.0
63.18,19.580000000000002,5.0
63.68,19.580000000000002,5.0
64.18,19.580000000000002,5.0
64.68,19.580000000000002,5.0
65.18,19.580000000000002,5.0
65.68,19.580000000000002,5.0
66.18,19.580000000000002,5.0
66.68,19.580000000000002,5.0
67.18,19.580000000000002,5.0
67.68,19.580000000000002,5.0
68.18,19.580000000000002,5.0
68.68,19.580000000000002,5.0
69.18,19.580000000000002,5.0
69.68,19.580000000000002,5.0
70.18,19.580000000000002,5.0
70.68,19.580000000000002,5.0
71.18,19.580000000000002,5.0
71.68,19.580000000000002,4.0
72.18,19.580000000000002,4.0
72.68,19.580000000000002,3.0
85.68,19.580000000000002,3.0
86.18,19.580000000000002,3.0
86.68,19.580000000000002,3.0
87.18,19.580000000000002,4.0
87.68,19.580000000000002,4.0
88.18,19.580000000000002,4.0
88.68,19.580000000000002,5.0
89.18,19.580000000000002,5.0
89.68,19.580000000000002,5.0
90.18,19.580000000000002,5.0
90.68,19.580000000000002,5.0
91.18,19.580000000000002,5.0
91.68,19.580000000000002,5.0
92.18,19.580000000000002,4.0
92.68,19.580000000000002,4.0
60.18,19.080000000000002,5.0
60.68,19.080000000000002,5.0
61.18,19.080000000000002,5.0
61.68,19.080000000000002,5.0
62.18,19.080000000000002,5.0
62.68,19.080000000000002,5.0
63.18,19.080000000000002,5.0
63.68,19.080000000000002,5.0
64.18,19.080000000000002,5.0
64.68,19.080000000000002,5.0
65.18,19.080000000000002,5.0
65.68,19.080000000000002,5.0
66.18,19.080000000000002,5.0
66.68,19.080000000000002,5.0
67.18,19.080000000000002,5.0
67.68,19.080000000000002,5.0
68.18,19.080000000000002,5.0
